"id","form","class","school","level","price_ph","hours","potential_earnings","profit","location_rate","quality_rate","suitability_rate","frequency"
1,"at_students_location","6","primary_school","basic","90.00","8.00","720.00","640.00","3.00","3.00","4.00","0.89"
2,"at_students_location","8","primary_school","basic","90.00","11.00","990.00","630.00","2.00","3.00","1.00","0.64"
3,"remote","7","primary_school","basic","80.00","7.00","560.00","560.00","5.00","2.00","3.00","1.00"
4,"remote","7","primary_school","basic","80.00","9.00","720.00","640.00","5.00","3.00","3.00","0.89"
5,"at_students_location","1","high_school","basic","90.00","0.00","0.00","0.00","2.00","3.00","3.00",NULL
6,"at_students_location","6","primary_school","basic","90.00","8.00","720.00","720.00","2.00","4.00","5.00","1.00"
7,"remote","4","high_school","basic","80.00","5.00","400.00","320.00","5.00","4.00","2.00","0.80"
8,"remote","1","high_school","advanced","90.00","9.00","810.00","810.00","5.00","5.00","5.00","1.00"
9,"remote","7","primary_school","basic","80.00","5.00","400.00","320.00","5.00","2.00","2.00","0.80"
10,"at_students_location","2","high_school","basic","70.00","6.00","420.00","420.00","4.00","4.00","3.00","1.00"
11,"remote","1","high_school","basic","80.00","16.00","1280.00","1040.00","5.00","4.00","5.00","0.81"
12,"at_students_location","1","high_school","advanced","100.00","7.00","700.00","600.00","4.00","2.00","3.00","0.86"
13,"at_students_location","6","primary_school","basic","90.00","0.00","0.00","0.00","2.00","2.00","1.00",NULL
14,"at_students_location","6","primary_school","basic","90.00","5.00","450.00","450.00","3.00","3.00","5.00","1.00"
15,"at_students_location","6","primary_school","basic","90.00","5.00","450.00","450.00","3.00","2.00","4.00","1.00"
16,"at_students_location","8","primary_school","basic","90.00","11.00","990.00","810.00","5.00","5.00","4.00","0.82"
17,"at_students_location","2","high_school","advanced","90.00","0.00","0.00","0.00","3.00","4.00","3.00",NULL
18,"remote","3","high_school","basic","90.00","2.00","180.00","180.00","5.00","2.00","3.00","1.00"
19,"remote","1","high_school","basic","90.00","6.00","540.00","540.00","5.00","2.00","3.00","1.00"
20,"at_students_location","1","high_school","basic","90.00","6.00","540.00","460.00","2.00","3.00","3.00","0.85"
21,"at_students_location","4","high_school","basic","90.00","3.00","270.00","270.00","2.00","4.00","3.00","1.00"
